romanian,french,italian,spanish,portuguese,ancestor

a,al,avere,alde
kompensat͡sie,kɔmpɛnsatjɔ̃,kompensasione,kompensasion
kompensat͡siune,kɔmpɛnsatjɔ̃,kompensasione,kompensasion
kompetent,kɔmpe,kompetente,kompetente
kompila,kɔmpile,kompilare,kompilaɾ
kompleks,kɔ̃plɛ,komplesːo,komplexo
komplika,kɔ̃plike,komplikare,komplikaɾ
kompot,kɔmpɔ,komposta,kompota
kompozit,kɔmpɔzi,komposito,kompwesto
kompozit͡sie,kɔmpɔzitjɔ̃,komposisione,komposision
kompozitor,kɔmpɔzitœr,kompositore,kompositoɾ
kompresibil,kɔ̃prɛsibl,kompresːibile,kompɾesible
kompresiune,kɔ̃prɛsjɔ̃,kompresːione,kompɾesjon
komprima,kɔ̃prime,komprimere,kompɾimiɾ
kompulsare,kɔmpylse,kompulsare,kompulsaɾe
kompulsie,kɔmpylsjɔ̃,kompulsione,kompulsjon
kompune,kɔmpɔze,komporːe,komponeɾ
komunika,kɔmynike,komunikare,komunikaɾse
komunikat͡sie,kɔmynikatjɔ̃,komunikasione,komunikasion
komunikat͡siune,kɔmynikatjɔ̃,komunikasione,komunikasion
komunikativ,kɔmynikatjf,komunikativo,komunikatibo
komunitate,kɔmynote,komunita,komunidad
komuniune,kɔmynjɔ̃,komunione,komunjon
komutat͡sie,kɔmytatjɔ̃,komːutasione,konmutasion
kon,kɔ,kon,kono
kont͡ʃede,kɔnsɛsjɔ̃,kond͡ʒedo,konsedeɾ
kont͡ʃepe,kɔnsɛvwar,kont͡ʃepire,konsebiɾ
kont͡ʃept,kɔnsɛpt,kont͡ʃetːo,konsepto
kont͡ʃept͡sie,kɔnsɛptjɔ̃,kont͡ʃesione,konsepsion
kont͡ʃept͡siune,kɔnsɛptjɔ̃,kont͡ʃesione,konsepsion
kont͡ʃesie,kɔnsɛsjɔ̃,kont͡ʃesːione,konsesjon
konkide,kɔ̃klyr,konkludere,konklwiɾ
kont͡ʃiliat͡siune,kɔnsiljatjɔ̃,kont͡ʃiliasione,konsiljasion
kont͡ʃiliator,kɔnsiljatœr,kont͡ʃiliatore,konsiljadoɾ
konklav,kɔ̃klav,konklave,konklabe
konkluzie,kɔ̃klysjɔ̃,konklusione,konklusjon
konkomitant,kɔnkɔmitan,konkomitante,konkomitante
konkomitent,kɔnkɔmitan,konkomitante,konkomitante
konkordat,kɔnkɔrda,konkordare,konkoɾdato
konkret͡siune,kɔ̃krɛtjɔ̃,konkresione,konkɾesion
konkubinə,kɔnkybɛ̃,konkubina,konkubina
konkupist͡ʃent,kɔnkypiz,konkupist͡ʃente,konkupissente
konkupist͡ʃent͡sə,kɔnkypizɛn,konkupist͡ʃensa,konkupissensia
kondamna,kɔndamne,kondanːare,kondenaɾ
kondit͡siune,kɔnditjɔ̃,kondisione,kondision
konduktor,kɔndytyr,kondutːore,konduktoɾ
konfekt͡sie,kɔnfɛktjɔ̃,konfesione,konfeksion
konfekt͡siune,kɔnfɛktjɔ̃,konfesione,konfeksion
konfesiune,kɔnfɛsjɔ̃,konfesːione,konfesjon
konfesor,kɔnfɛsœr,konfesːore,konfesoɾ
konfiɡura,kɔnfiɡre,konfiɡurare,konfiɡwɾaɾ
konfiɡurat͡sie,kɔnfiɡratjɔ̃,konfiɡurasione,konfiɡwɾasion
konfirma,kɔnfirme,konfermare,konfiɾmaɾ
konfiska,kɔnfiske,konfiʃare,konfiskaɾ
konflaɡrat͡sie,kɔ̃flaɡratjɔ̃,konflaɡrasione,konflaɡɾasion
konfluent,kɔ̃flɥ,konfluente,konflwente
konfluent͡sə,kɔ̃flɥɛn,konfluensa,konflwensia
konfunda,kɔnfɔ̃dr,konfondere,konfundiɾ
konfuzie,kɔnfysjɔ̃,konfusione,konfusjon
kond͡ʒela,kɔnʒɛle,kond͡ʒelare,konxelaɾ
kond͡ʒener,kɔnʒenɛr,kond͡ʒenere,konxeneɾe
kond͡ʒestie,kɔnʒɛstjɔ̃,kond͡ʒestione,konxestjon
konɡlutinare,kɔ̃ɡlytjne,konɡlutinare,konɡlutinaɾe
konɡratulare,kɔ̃ɡratyle,konɡratularsi,konɡɾatulaɾe
konɡreɡat͡sie,kɔ̃ɡreɡatjɔ̃,konɡreɡasione,konɡɾeɡasion
konɡreɡat͡siune,kɔ̃ɡreɡatjɔ̃,konɡreɡasione,konɡɾeɡasion
konɡres,kɔ̃ɡrɛ,konɡresːo,konɡɾeso
konɡruent,kɔ̃ɡrɥ,konɡruente,konɡɾwente
konɡruent͡sə,kɔ̃ɡrɥɛn,konɡruensa,konɡɾwensia
konʒekturə,kɔnʒɛktyr,kond͡ʒetːura,konxetuɾa
konʒuɡal,kɔnʒyɡal,koniuɡale,koniuɡal
konʒunkt͡sie,kɔnʒɔ̃ktjɔ̃,kond͡ʒunsione,konxunsion
konʒunktiv,kɔnʒɔ̃ktjf,kond͡ʒuntivo,konxuntibo
konʒunkturə,kɔnʒɔ̃ktyr,kond͡ʒuntura,koiuntuɾa
konsakra,kɔnsakre,konsakrare,konsaɡɾaɾ
konset͡ʃint͡sə,kɔnsekɛn,konseɡuensa,konsekwensia
konsens,kɔnsɛnsy,konsenso,konsenso
konservator,kɔnsɛrvatœr,konservatore,konseɾbadoɾ
konsidera,kɔnsidere,konsiderare,konsideɾaɾ
konsiderat͡sie,kɔnsideratjɔ̃,konsiderasione,konsideɾasion
konsilier,kɔnsɛjle,konsiʎere,konsexeɾo
konsistoriu,kɔnsistwar,konsistorio,konsistoɾjo
konsolə,kɔnsɔl,konsolare,konsolaɾ
konsonant,kɔnsɔnan,konsonante,konsonante
konsonant͡sə,kɔnsɔnan,konsonansa,konsonansia
konsort,kɔnsɔrt,konsorte,konsoɾte
konsort͡siu,kɔnsɔrtjɥə̃,konsorsio,konsoɾsio
konspira,kɔ̃spire,kospirare,konspiɾaɾ
konspirat͡sie,kɔ̃spiratjɔ̃,kospirasione,konspiɾasion
konspirat͡siune,kɔ̃spiratjɔ̃,kospirasione,konspiɾasion
konstant,kɔ̃stan,kostante,konstante
konstant͡sə,kɔ̃stan,kostansa,konstansia
konstelat͡sie,kɔ̃stɛlatjɔ̃,kostelːasione,konstelasion
konsternat͡sie,kɔ̃stɛrnatjɔ̃,kosternasione,konsteɾnasion
konstitut͡sie,kɔ̃stjtytjɔ̃,kostitusione,konstitusion
konstrukt͡sie,kɔ̃stryktjɔ̃,kostrusione,konstɾuksion
konstrukt͡siune,kɔ̃stryktjɔ̃,kostrusione,konstɾuksion
konstrui,kɔ̃strɥir,kostruire,konstɾwiɾ
konsubstant͡sial,kɔnsybstâtjɛl,konsustansiale,konsustansial
konsubstant͡sialitate,kɔnsybstâtjalite,konsustansialita,konsustansialidad
konsul,kɔnsyl,konsul,konsul
konsulat,kɔnsyla,konsolato,konsulado
konsult,kɔnsylt,konsultare,konsultaɾ
konsuma,kɔnsɔme,konsumare,konsumiɾ
kontad͡ʒiune,kɔntaɡjɔ̃,kontad͡ʒone,kontaxio
kontamina,kɔntamine,kontaminare,kontaminaɾ
kontemplat͡sie,kɔntâplatjɔ̃,kontemplasione,kontemplasion
kontemplativ,kɔntâplatjf,kontemplativo,kontemplatibo
kontemporan,kɔntɛmpɔrɛ̃,kontemporáneo,kontempoɾaneo
kontiɡuu,kɔntjɡ,kontiɡuo,kontiɡwo
kont͡sine,kɔntɛnir,kontenere,konteneɾ
kontinent,kɔntjn,kontinente,kontinente
kontinent͡sə,kɔntjnɛn,kontinensa,kontinensia
kontind͡ʒent͡sə,kɔntjnʒɛn,kontind͡ʒensa,kontinxensia
kontinua,kɔntjny,kontinue,kontinwaɾ
kontinuitate,kɔntjnɥite,kontinuita,kontinwidad
kontrakt,kɔ̃trat́,kontratːo,kontɾato
kontrakt͡sie,kɔ̃traktjɔ̃,kontrasione,kontɾaksion
kontradikt͡sie,kɔ̃tradiktjɔ̃,kontradːisione,kontɾadiksion
kontradikt͡siune,kɔ̃tradiktjɔ̃,kontradːisione,kontɾadiksion
kontradiktoriu,kɔ̃tradiktwar,kontradːitːorio,kontɾadiktoɾjo
kontrar,kɔ̃trɛr,kontrario,kontɾaɾjo
kontrazit͡ʃe,kɔ̃trɛdir,kontradːire,kontɾadesiɾ
kontribui,kɔ̃tribɥe,kontribuire,kontɾibwiɾ
kontubernal,kɔntybɛrnal,kontubernale,kontubeɾnal
kontumat͡ʃie,kɔntymaz,kontumat͡ʃa,kontumasia
kontuzie,kɔntysjɔ̃,kontusione,kontusjon
kontuziune,kɔntysjɔ̃,kontusione,kontusjon
konvalest͡ʃent,kɔnvalɛz,konvalest͡ʃente,konbalesiente
konvalest͡ʃent͡sə,kɔnvalɛzɛn,konvalest͡ʃensa,konbalesensia
konvekt͡sie,kɔnvɛktjɔ̃,konvesione,konbeksion
konvenient,kɔnvɛnan,konveniente,konbenjente
konvent,kɔnv,konvento,konbento
konvent͡sie,kɔnvâtjɔ̃,konvensione,konbension
konvent͡sional,kɔnvâtjɔnɛl,konvensionale,konbensional
konvent͡siune,kɔnvâtjɔ̃,konvensione,konbension
konverd͡ʒe,kɔnvɛrʒe,konverd͡ʒere,konbeɾxeɾ
konverd͡ʒent,kɔnvɛrɡ,konverd͡ʒente,konbeɾxente
konversiune,kɔnvɛrsjɔ̃,konversione,konbeɾsjon
konverti,kɔnvɛrtjr,konvertire,konbeɾtiɾ
konveksitate,kɔnvɛksite,konvesːita,konbeksidad
konvind͡ʒe,kɔnvɛ̃kr,konvint͡ʃere,konbenseɾ
konvoi,kɔnvwa,konvoʎo,konboi
koopera,kɔɔpere,kooperare,koopeɾaɾ
koperi,kuvrir,koprimento,kubɾiɾ
korabie,karavɛl,karavelːa,kaɾabela
korb,kɔrbo,korbo,kweɾbo
korekt͡sie,kɔrrɛktjɔ̃,korːesione,koreksion
korekt͡siune,kɔrrɛktjɔ̃,korːesione,koreksion
koridor,kɔrridɔr,korːidore,koredoɾ
koriʒa,kɔrriʒe,korːed͡ʒːere,korexiɾ
kornut,kɔrny,kornuto,koɾnudo
koroanə,kurɔn,inkoronare,koɾona
korobora,kɔrrɔbɔre,korːoborare,koroboɾaɾ
koroda,kɔrrɔde,korːodere,koroeɾ
korolə,kɔrɔl,korolːa,koɾola
korolar,kɔrɔlɛr,korolːario,koɾolaɾjo
koronal,kɔrɔnal,koronale,koɾonal
korp,kɔrpɔral,korpo,kweɾpo
korpolent,kɔrpyl,korpulente,koɾpulento
korpolent͡sə,kɔrpylɛn,korpulensa,koɾpulensia
kortinə,kurtjn,kortina,koɾtina
korupt,kɔrrɔ̃pr,korːompere,korupto
koruptibil,kɔrryptjbl,korːutːibile,koruptible
korupt͡sie,kɔrryptjɔ̃,korːusione,korupsion
korupt͡siune,kɔrryptjɔ̃,korːusione,korupsion
korvetə,kɔrvɛ,korvetːa,koɾbeta
kosmik,kɔsmik,kozmiko,kosmiko
kraniu,krɑn,kranio,kɾaneo
krap,karp,karpa,kaɾpa
krəpa,krəve,krepare,kebɾaɾ
krasə,kras,krasi,kɾaso
krater,kratɛr,kratere,kɾateɾ
krea,kré,kreare,kɾeaɾ
kreastə,krɛ,kresta,kɾesta
kreat͡sie,kreatjɔ̃,kreasione,kɾeasion
kreat͡siune,kreatjɔ̃,kreasione,kɾeasion
kreator,kreatœr,kreatore,kɾeadoɾ
krede,krwar,kredensa,kɾeeɾ
kredit,kredi,kredito,kɾedito
kreier,sɛrvo,t͡ʃervelːo,seɾebɾo
kremə,krɛm,krema,kɾema
krepuskul,krepyskyl,krepuʃolo,kɾepuskulo
kreʃte,krwâtr,krest͡ʃere,kɾeseɾ
kreʃtin,ʃretjâ,kristiano,kɾistjano
kriptə,kript,kripta,kɾipta
kristal,kristal,kristalːo,kɾistal
kristalin,kristalɛ̃,kristalːino,kɾistalino
krizə,kriz,krisi,kɾisis
krokodil,krɔkɔdil,kokːodrilːo,kokodɾilo
krut͡ʃe,krwazœr,krot͡ʃe,kɾus
krud,kry,krudo,kɾudo
krural,kryral,krurale,kɾuɾal
kuaternar,katɛrnɛr,kuaternario,kwateɾnaɾjo
kub,kyb,kubo,kubo
kubital,kybital,kubitale,kubital
kuk,kuku,kukːo,kukkukk
kud͡ʒeta,kɥidje,koitare,kwidaɾ
kui,sin,koɲo,kuɲo
kuled͡ʒe,kɔlɛktă,koʎere,koxeɾ
kulme,kylm,kolmo,kolmo
kulmina,kylmine,kulminare,kulminaɾa
kulturə,kyltyr,kultura,kultuɾa
kum,kɔm,kome,komo
kumineka,kɔmynje,komːunikare,komulɡaɾ
kumpəra,kɔmpɛre,komprare,kompɾaɾ
kunoaʃte,kɔnɛtr,konost͡ʃere,konoseɾ
kupə,ku,kopːa,kopa
kuprinde,kɔ̃prâdr,komprendere,kompɾendeɾ
kure,kurir,korːere,kulo
kurabil,kyrabl,kurabile,kuɾable
kuraʒ,kuraʒ,korad͡ʒːo,koɾaxe
kurea,kurir,kored͡ʒːa,korea
kurial,kyrjal,kuriale,kuɾjal
kurios,kyrjœ,kurioso,kuɾjoso
kuriozitate,kyrjɔzite,kuriosita,kuɾjosidad
kursor,kyrsœr,kursore,kuɾsoɾ
kurul,kyl,kulo,kulo
kuspidə,kyspi,kuspide,kuspide
kutikulə,kytjkyl,kutikola,kutikula
kvadrant,kadran,kuadrante,kwadɾante
kvadraturə,kadratyr,kuadratura,kwadɾatuɾa
kvasi,i,kuasi,kasi
kvorum,kɔrɥə̃,kuorum,koɾum
dalmatik,dalmatjk,dalmatika,dalmatiko
dalmatikə,dalmatjk,dalmatika,dalmatiko
dativ,datjf,dativo,datibo
daunə,dɔmaʒ,danːo,daɲo
de,dɔrenavan,di,de
debil,debil,debole,debil
debitor,debitœr,debitore,deudoɾ
dekadə,deka,dekade,dekada
dekaloɡ,dekalɔɡɥ,dekaloɡo,dekaloɡo
dekan,dwaâ,dekano,dekano
dekapita,dekapite,dekapitare,dekapitaɾ
det͡ʃembrie,dekâbr,det͡ʃembre,disiembɾe
det͡ʃenal,dezɛnal,det͡ʃenːale,desenal
det͡ʃent͡sə,dezɛn,det͡ʃensa,desensia
det͡ʃide,dezide,det͡ʃidere,desidiɾ
det͡ʃizie,dezisjɔ̃,det͡ʃisione,desisjon
deklamat͡sie,deklamatjɔ̃,deklamasione,deklamasion
deklara,deklare,dikiarare,deklaɾaɾ
deklarat͡siune,deklaratjɔ̃,dikiarasione,deklaɾasion
deklinat͡sie,deklinɛzɔ̃,deklinasione,deklinasion
dekrepit,dekrepi,dekrepito,dekɾepito
dedika,dedje,dedikare,dedikaɾ
dedikat͡sie,dedikatjɔ̃,dedikasione,dedikasion
dedut͡ʃe,dedyktjf,dedurːe,dedusiɾ
deduktiv,dedyktjf,dedutːivo,deduktibo
defeka,defeke,defekare,defekaɾ
defekat͡sie,defekatjɔ̃,defekasione,defekasion
defekat͡siune,defekatjɔ̃,defekasione,defekasion
defekt,defo,difetːo,defekto
defit͡ʃient,defikj,defit͡ʃente,defisiente
defit͡ʃient͡sə,defikjɛn,defit͡ʃensa,defisiensia
defini,definir,definire,definiɾ
definit͡sie,definitjɔ̃,definisione,definision
deflaɡrat͡sie,deflaɡratjɔ̃,deflaɡrasione,deflaɡɾasion
deforma,defɔrme,deformare,defoɾmaɾ
ded͡ʒet,dwaɡt,ditale,dedal
deɡrada,deɡrade,deɡradare,deɡɾadaɾ
deism,deism,deizmo,deismo
deleɡa,deleɡɥe,deleɡare,deleɡaɾ
deleɡat͡sie,deleɡatjɔ̃,deleɡasione,deleɡasion
delfin,dofɛ̃,delfino,delfin
deliberativ,deliberatjf,deliberativo,delibeɾatibo
delikat,delika,delikato,delikado
delit͡ʃios,delikjœ,delisioso,delisioso
delikvest͡ʃent,delikɛz,delikuest͡ʃente,delikwessente
delinkvent,delinkan,delinkuente,delinkwente
delineare,deliné,delineare,delineaɾe
delir,delir,delirio,deliɾjo
delirare,delire,delirare,deliɾaɾe
dement,dem,demente,demente
dement͡sə,demɛn,demensa,demensia
demisiune,demisjɔ̃,dimisːione,dimisjon
demn,dɛmnitar,deɲo,diɡno
demnitate,diɲite,diɲita,diɡnidad
demola,demɔlir,demolire,demoleɾ
demonstrabil,demɔ̃trabl,dimostrabile,demostɾable
demonstrativ,demɔ̃stratjf,dimostrativo,demostɾatibo
deniɡra,deniɡre,deniɡrare,deniɡɾaɾ
denota,denɔte,denotare,denotaɾ
denotat͡sie,denɔtatjɔ̃,denotasione,denotasion
dens,dɛn,denso,denso
densitate,dɛnsite,densita,densidad
dentit͡sie,dɛntjtjɔ̃,dentisione,dentision
denunt͡sa,denɔnse,denunt͡ʃare,denunsiaɾ
departe,depart,dipartimento,apaɾtaɾ
depila,depile,depilare,depilaɾse
deponent,depɔn,deponente,deponente
depozit,depɔ,deposito,deposito
depozitar,depɔzitɛr,depositario,depositaɾjo
deprava,deprave,depravare,depɾabaɾ
depresiune,deprɛsjɔ̃,depresːione,depɾesjon
deprima,deprime,deprimere,depɾimiɾ
depune,depɔze,deporːe,deponeɾ
deroɡa,derɔʒe,deroɡare,deɾoɡaɾ
deskəlt͡sa,deʃose,diʃalsare,deskalsaɾ
dest͡ʃinde,dɛskâdr,dist͡ʃendere,dessendeɾ
deskoperi,dekuvrir,diʃoprire,deskubɾiɾ
deskriptiv,dɛskriptjf,deʃritːivo,deskɾiptibo
desfat͡ʃe,defɛr,disfare,deʃaseɾ
desleɡa,delje,dizleɡare,desliɡaɾ
despuia,depujle,despoʎare,despoxaɾ
destruktiv,dɛstryktjv,distrutːivo,destɾuktibo
destruktor,dɛstrytyr,distrutːore,destɾuktoɾ
determina,detɛrmine,determinare,deteɾminaɾ
determinat͡siune,detɛrminatjɔ̃,determinasione,deteɾminasion
detraktoare,detratyr,detratːore,detɾaktoɾ
detriment,detrim,detrimento,detɾimento
detritus,detrity,detrito,detɾito
devasta,devaste,devastare,debastaɾ
devora,devɔre,divorare,deboɾaɾ
devot͡siune,devɔtjɔ̃,devosione,debosion
dezertoare,dezɛrtœr,disertore,deseɾtoɾ
diakon,djakr,diakono,djakono
diademə,djadɛm,diadema,djadema
diafraɡmə,djafraɡm,diaframːa,djafɾaɡma
diaɡonal,djaɡɔnal,diaɡonale,djaɡonal
dialektikə,djalɛktjk,dialetːika,djalektika
dialoɡ,djalɔɡɥ,dialoɡo,djaloɡo
diametru,djamɛtr,diametro,djametɾo
diaree,djare,diarːea,djarea
diastolə,djastɔl,diastole,djastole
diatribə,djatrib,diatriba,djatɾiba
dikta,dit́,detːare,diktaɾ
diktatoare,diktatœr,ditːatore,diktadoɾ
diktaturə,diktatyr,ditːatura,diktaduɾa
dikt͡sionar,diktjɔnɛr,disionario,diksionaɾjo
diferent͡sə,diferɛn,difːerensa,difeɾensia
difit͡ʃil,difizil,difːit͡ʃile,difisil
difikultate,difikylte,difːikolta,difikultad
difuziune,difysjɔ̃,difːusione,difusjon
did͡ʒestie,diʒɛstjɔ̃,did͡ʒestione,dixestjon
diɡresiune,diɡrɛsjɔ̃,diɡresːione,diɡɾesjon
diʒmə,dim,det͡ʃima,djesmo
dilatoriu,dilatwar,dilatorio,dilatoɾjo
dilemə,dilɛm,dilemːa,dilema
diletant,dilɛtan,diletːante,diletante
dilid͡ʒent,dili,dilid͡ʒente,dilixente
dinte,d,dente,djente
diplomə,diplom,diploma,diploma
direkt͡sie,dirɛktjɔ̃,diresione,diɾeksion
direkt͡siune,dirɛktjɔ̃,diresione,diɾeksion
direktor,dirɛtyr,diretːore,diɾektoɾ
dist͡ʃerne,dizɛrne,dist͡ʃernere,disseɾniɾ
dist͡ʃiplinə,diziplin,dist͡ʃiplinare,dissiplina
dist͡ʃipol,dizipl,dist͡ʃepolo,dissipulo
diskordare,diskɔrde,diʃordare,diskoɾdaɾe
diskordia,diskɔrdan,diʃordia,diskoɾdja
diskret,diskrɛ,diʃreto,diskɾeto
diskrimina,diskrimine,diʃriminare,diskɾiminaɾ
diskuta,diskyte,diʃutere,diskutiɾ
diskut͡sie,diskysjɔ̃,diʃusːione,diskusjon
disensiune,disâsjɔ̃,disːenso,disensjon
disident,disi,disːidente,disidente
disimula,disimyle,disːimulare,disimulaɾ
disot͡ʃiat͡sie,disɔkjatjɔ̃,disːot͡ʃasione,disosiasion
disolut͡sie,disɔlytjɔ̃,disːolusione,disolusion
disonant͡sə,disɔnan,disːonansa,disonansia
dispersie,dispɛrsjɔ̃,dispersione,dispeɾsjon
dispozitiv,dispɔzitjf,dispositivo,dispositibo
disputare,dispyte,disputare,disputaɾe
distant͡sə,distan,distansa,distansia
distinkt͡sie,distɛ̃ktjɔ̃,distinsione,distinsion
distind͡ʒe,distjŋɥe,distinɡuere,distinɡiɾ
distribui,distribɥe,uire,distɾibwiɾ
distribut͡sie,distribytjɔ̃,distribusione,distɾibusion
distributiv,distribytjf,distributivo,distɾibutibo
ditiramb,ditiramb,ditirambo,ditiɾambo
diuretik,djyretjk,diuretiko,djuɾetiko
diurn,djyrn,diurno,djuɾno
divaɡare,divaɡɥe,divaɡare,dibaɡaɾ
diverd͡ʒe,divɛrʒe,diverd͡ʒere,dibeɾxiɾ
divers,divɛr,diverso,dibeɾso
diversitate,divɛrsite,diversita,dibeɾsidad
divertikul,divɛrtjkyl,divertikolo,dibeɾtikulo
divide,dividɛn,dividere,dibidiɾ
dividend,dividɛn,dividendo,dibidendo
divin,divɛ̃,divino,dibino
divinitate,divinite,divinita,dibinidad
divizibil,divizibl,divisibile,dibisible
diviziune,divisjɔ̃,divisione,dibisjon
divizor,divizœr,divisore,dibisoɾ
divort͡s,divɔr,divorsio,diboɾsio
divulɡator,divylɡatœr,divulɡatore,dibulɡadoɾ
dizenterie,disɛntɛrj,disːenteria,disenteɾja
dizolva,disudr,disːolvere,disolbeɾ
doamnə,dam,donːa,dwena
dot͡ʃil,dɔzil,dot͡ʃile,dosil
dot͡ʃilitate,dɔzilite,dot͡ʃilita,dosilidad
doktrinə,dɔktrin,dotːrina,doktɾina
doktrinal,dɔktrinal,dotːrinale,doktɾinal
dokument,dɔkym,dokumento,dokumento
dod͡ʒe,dɔʒ,dod͡ʒe,duks
doɡmə,dɔɡmatjk,doɡma,doɡma
doɡmatik,dɔɡmatjk,doɡmatiko,doɡmatiko
doi,dœ,due,dos
domina,dɔmine,dominare,dominaɾ
dominat͡sie,dɔminatjɔ̃,dominasione,dominasion
domn,dâ,donːo,don
donə,dɔn,donare,doɲa
donat͡sie,dɔnatjɔ̃,donasione,donasion
dorik,dɔrik,doriko,doɾiko
dormi,dɔrmœz,dormire,doɾmiɾ
dos,dɔ,dosːo,doɾso
dotə,dɔ,dote,dote
dotal,dɔtal,dotale,dotal
drak,draɡɔ̃,drako,dɾaɡon
dramə,dram,dramːa,dɾama
dramatik,dramatjk,dramatiko,dɾamatiko
dreaptə,drwa,diritːo,deɾet͡ʃo
dromader,drɔmadɛr,dromedario,dɾomedaɾjo
drupə,dry,drupa,dɾupa
dual,dɥal,duale,dwal
dualitate,dɥalite,dualita,dwalidad
dublə,dubl,dobla,doble
dukal,dykal,dukale,dukal
duktil,dyktjl,dutːile,duktil
duel,dɥəl,duelːo,dwelo
dult͡ʃe,du,dolt͡ʃe,dolse
duminikə,dimanʃ,domenika,dominɡo
duo,dɥɛtist,duo,dwo
duoden,dɥɔdenɔ,duodeno,dwodeno
dupleks,dyplɛ,duplex,dupleks
duplikat͡sie,dyplikatjɔ̃,duplikasione,duplikasion
durabil,dyrabl,durabile,duɾable
durere,dɔlwar,dolere,doleɾ
duritate,dyrɛ,duret͡sa,duɾesa
duroare,dulœr,dolore,doloɾ
duumvirat,dɥymvira,duumvirato,duunbiɾato
ea,il,el,el
ebulit͡sie,ebylitjɔ̃,ebolːisione,ebuʝision
ebulit͡siune,ebylitjɔ̃,ebolːisione,ebuʝision
ekilater,ekilatɛr,ekuilatero,ekilateɾo
ekin,ekɛ̃,ekuino,ekino
ekinokt͡sial,ekinɔksjal,ekuinosiale,ekinoksial
ekinokt͡siu,ekinɔ,ekuinosio,ekinoksio
ekitate,ekite,ekuita,ekidad
ekitat͡sie,ekitatjɔ̃,ekuitasione,ekitasion
ekivoka,ekivɔk,ekuivoko,ekiboko
ekleziastik,ɛkklesjastjk,ekːlesiastiko,eklesjastiko
ekonomik,ekɔnɔmik,ekonomiko,ekonomiko
ekonomie,ekɔnɔmj,ekonomia,ekonomja
ekuat͡sie,ekatjɔ̃,ekuasione,ekwasion
ekŭat͡siune,ekatjɔ̃,ekuasione,ekwasion
ekuator,ekatœr,ekuatore,ekwadoɾ
ekumenik,oekymenik,ekumeniko,ekumeniko
ekvestru,ekɛstr,ekuestre,ekwestɾe
edifit͡ʃiu,edifiz,edifit͡ʃo,edifisio
edit͡sie,editjɔ̃,edisione,edision
editor,editœr,editore,editoɾ
eduka,ədykabil,edukare,edukaɾ
edukat͡sie,edykatjɔ̃,edukasione,edukasion
edukat͡siune,edykatjɔ̃,edukasione,edukasion
edukator,edykatœr,edukatore,edukadoɾ
efekt,əfɛktjv,efːetːo,efekto
efektor,ɛfɛtyr,efːetːore,efektoɾ
efervest͡ʃent,ɛfɛrvɛz,efːervest͡ʃente,efeɾbessente
efikat͡ʃe,ɛfikaz,efːikat͡ʃe,efikas
efit͡ʃient,ɛfikj,efːit͡ʃente,efisiente
efid͡ʒie,ɛfiɡj,efːid͡ʒe,efixie
efluviu,ɛflyv,efːluvio,eflubjo
efuziune,ɛfysjɔ̃,efːusione,efusjon
eɡal,əɡala,uɡuale,iɡwal
ed͡ʒidə,eʒi,ed͡ʒida,exida
eɡloɡə,eɡlɔɡɥ,eɡloɡa,eɡloɡa
eɡoism,eɡoism,eɡoizmo,eɡoismo
elabora,elabɔre,elaborare,elaboɾaɾ
elastik,elastjk,elastiko,elastiko
elektiv,elɛktjf,eletːivo,elektibo
eleɡant,eleɡan,eleɡante,eleɡante
eleɡant͡sə,eleɡan,eleɡansa,eleɡansia
eled͡ʒiak,eleɡjak,eled͡ʒako,elexiako
eled͡ʒie,eleɡj,eled͡ʒa,elexia
element,elem,elemento,elemento
elevat͡sie,elevatjɔ̃,elevasione,elebasion
elit͡ʃe,eliz,elit͡ʃe,elise
elipsə,ɛli,elːisːe,elipse
elitə,eli,elite,elite
eliziune,elisjɔ̃,elisione,elisjon
elot͡ʃint͡sə,elɔkɛn,elokuensa,elokwensia
elokvent,elɔk,elokuente,elokwente
elod͡ʒiu,elɔʒ,elod͡ʒo,eloxio
emana,emane,emanare,emanaɾ
emanat͡sie,emanatjɔ̃,emanasione,emanasion
emanat͡siune,emanatjɔ̃,emanasione,emanasion
emant͡ʃipa,emansipe,emant͡ʃipare,emansipaɾ
emblemə,âblɛm,emblema,emblema
emersiune,emɛrsjɔ̃,emersione,emeɾsjon
emetik,emetjk,emetiko,emetiko
emiɡra,emiɡre,emiɡrare,emiɡɾaɾ
emiɡrat͡sie,emiɡratjɔ̃,emiɡrasione,emiɡɾasion
eminent,emin,eminente,eminente
eminent͡sə,eminɛn,eminensa,eminensia
emisferə,əmi,emisfero,emisfeɾjo
emistih,emistjʃ,emistikio,emistikjo
emolient,emɔlj,emolːiente,emoljente
emot͡sie,emɔtjɔ̃,emosione,emosion
emot͡siune,emɔtjɔ̃,emosione,emosion
empirik,ɛmpirik,empiriko,empiɾiko
emulat͡sie,emylatjɔ̃,emulasione,emulasion
emulat͡siune,emylatjɔ̃,emulasione,emulasion
emulsie,emylsjɔ̃,emulsione,emulsjon
enkaustik,ɛnkostjk,inkiostro,enkaustiko
enerd͡ʒie,enɛrɡj,enerd͡ʒa,eneɾxia
enerɡumen,enɛrɡmɛn,enerɡumeno,eneɾɡwmeno
eniɡmə,eniɡm,eniɡma,eniɡma
eniɡmatik,eniɡmatjk,eniɡmatiko,eniɡmatiko
enorm,enɔrm,enorme,enoɾme
